0,Windows,98,Windows 98
0,Windows,CE,Windows CE
0,Windows,ME,9x 4.90
0,Windows,ME,Windows ME
0,Windows,Mobile,Windows Mobile
0,Windows,NT,NT 4
0,Windows,Phone 7,71528
0,Windows,Phone 7,ZuneWP7
0,Windows,Phone 7,IEMobile/9.0
0,Windows,Phone 8,IEMobile/10.0
0,Windows,RT,6.2; ARM
0,Windows,Vista,NT 6.0
1,Windows,XP,NT 5.1
0,Xbox platform,,Xbox
0,XrossMediaBar (XMB),,PLAYSTATION 3
0,XrossMediaBar (XMB),,PlayStation Portable
